Timestamp,CPU%,Memory_MB
2025-04-10T23:20:40Z,0.35,20.82
2025-04-10T23:20:46Z,0.03,20.80
2025-04-10T23:20:53Z,0.04,20.81
2025-04-10T23:20:59Z,0.00,20.80
2025-04-10T23:21:06Z,0.02,20.80
2025-04-10T23:21:13Z,0.04,20.81
2025-04-10T23:21:19Z,0.00,20.80
2025-04-10T23:21:26Z,0.70,20.98
2025-04-10T23:21:33Z,0.77,21.46
2025-04-10T23:21:39Z,0.76,21.23
2025-04-10T23:21:46Z,0.92,21.56
2025-04-10T23:21:53Z,0.88,21.24
2025-04-10T23:21:59Z,0.74,21.74
2025-04-10T23:22:06Z,0.86,21.26
2025-04-10T23:22:13Z,0.85,21.50
2025-04-10T23:22:19Z,0.92,21.51
2025-04-10T23:22:26Z,0.71,21.29
2025-04-10T23:22:33Z,0.85,21.27
2025-04-10T23:22:39Z,0.92,21.61
2025-04-10T23:22:46Z,0.74,21.27
2025-04-10T23:22:53Z,0.76,21.29
2025-04-10T23:22:59Z,0.81,21.54
2025-04-10T23:23:06Z,0.90,21.29
2025-04-10T23:23:13Z,0.91,21.07
2025-04-10T23:23:19Z,1.02,21.32
2025-04-10T23:23:26Z,0.68,21.34
2025-04-10T23:23:33Z,0.99,21.06
2025-04-10T23:23:39Z,1.03,21.57
2025-04-10T23:23:46Z,1.05,21.40
2025-04-10T23:23:53Z,0.92,21.32
2025-04-10T23:23:59Z,1.05,21.84
2025-04-10T23:24:06Z,0.85,21.36
2025-04-10T23:24:13Z,0.94,21.58
2025-04-10T23:24:19Z,1.61,22.61
2025-04-10T23:24:26Z,0.75,21.35
2025-04-10T23:24:33Z,0.87,21.59
2025-04-10T23:24:40Z,0.96,21.61
2025-04-10T23:24:46Z,0.97,21.17
2025-04-10T23:24:53Z,0.74,21.38
2025-04-10T23:25:00Z,0.87,21.39
2025-04-10T23:25:06Z,0.77,21.38
2025-04-10T23:25:13Z,0.58,21.14
2025-04-10T23:25:19Z,0.80,21.39
2025-04-10T23:25:26Z,0.69,21.43
2025-04-10T23:25:33Z,0.98,21.15
2025-04-10T23:25:40Z,0.81,21.90
2025-04-10T23:25:46Z,0.00,21.15
2025-04-10T23:25:53Z,0.06,21.41
2025-04-10T23:26:00Z,0.00,21.15
2025-04-10T23:26:06Z,0.00,21.15
2025-04-10T23:26:13Z,0.02,21.15
2025-04-10T23:26:20Z,0.02,21.15
2025-04-10T23:26:26Z,0.00,21.15
2025-04-10T23:26:33Z,0.02,21.15
2025-04-10T23:26:40Z,0.02,21.15
2025-04-10T23:26:46Z,0.00,21.15
2025-04-10T23:26:53Z,0.01,21.16
2025-04-10T23:27:00Z,0.03,21.15
2025-04-10T23:27:06Z,0.00,21.15
2025-04-10T23:27:13Z,0.00,21.16
