Timestamp,CPU%,Memory_MB
2025-04-10T23:51:12Z,0.07,174.40
2025-04-10T23:51:19Z,0.09,174.60
2025-04-10T23:51:26Z,0.08,174.40
2025-04-10T23:51:32Z,0.25,174.40
2025-04-10T23:51:39Z,0.10,174.40
2025-04-10T23:51:46Z,0.07,174.40
2025-04-10T23:51:52Z,0.15,174.40
2025-04-10T23:51:59Z,0.23,174.60
2025-04-10T23:52:05Z,0.41,174.60
2025-04-10T23:52:12Z,0.09,174.40
2025-04-10T23:52:19Z,0.10,174.40
2025-04-10T23:52:26Z,0.06,174.40
2025-04-10T23:52:32Z,0.31,174.60
2025-04-10T23:52:39Z,0.26,174.60
2025-04-10T23:52:45Z,0.07,174.40
2025-04-10T23:52:52Z,0.09,174.40
2025-04-10T23:52:59Z,0.09,174.40
2025-04-10T23:53:06Z,0.26,174.60
2025-04-10T23:53:12Z,0.07,174.40
2025-04-10T23:53:19Z,0.09,174.60
2025-04-10T23:53:26Z,0.08,174.40
2025-04-10T23:53:32Z,0.37,174.40
2025-04-10T23:53:39Z,0.26,174.40
2025-04-10T23:53:46Z,0.09,174.40
2025-04-10T23:53:52Z,0.08,174.40
2025-04-10T23:53:59Z,0.06,174.40
2025-04-10T23:54:06Z,0.28,174.40
2025-04-10T23:54:12Z,0.08,174.40
2025-04-10T23:54:19Z,0.10,174.40
2025-04-10T23:54:26Z,0.09,174.40
2025-04-10T23:54:32Z,0.42,174.60
2025-04-10T23:54:39Z,0.42,174.40
2025-04-10T23:54:46Z,0.08,174.40
2025-04-10T23:54:52Z,0.10,174.40
2025-04-10T23:54:59Z,0.07,174.70
2025-04-10T23:55:06Z,0.19,174.40
2025-04-10T23:55:13Z,0.06,174.40
2025-04-10T23:55:19Z,0.13,174.40
2025-04-10T23:55:26Z,0.08,174.40
2025-04-10T23:55:33Z,0.31,174.70
2025-04-10T23:55:39Z,0.22,174.40
2025-04-10T23:55:46Z,0.14,174.40
2025-04-10T23:55:53Z,0.08,174.40
2025-04-10T23:55:59Z,0.07,174.40
2025-04-10T23:56:06Z,0.33,174.70
2025-04-10T23:56:13Z,0.42,174.40
2025-04-10T23:56:19Z,2.19,174.70
2025-04-10T23:56:26Z,0.11,174.40
2025-04-10T23:56:33Z,0.12,174.40
2025-04-10T23:56:39Z,0.09,174.40
2025-04-10T23:56:46Z,0.09,174.40
2025-04-10T23:56:53Z,0.08,174.40
2025-04-10T23:56:59Z,0.06,174.40
2025-04-10T23:57:06Z,0.11,174.40
2025-04-10T23:57:13Z,0.07,174.40
2025-04-10T23:57:19Z,0.48,174.40
2025-04-10T23:57:26Z,0.12,174.40
2025-04-10T23:57:33Z,0.09,174.40
2025-04-10T23:57:39Z,0.09,174.40
2025-04-10T23:57:46Z,0.09,174.40
