Timestamp,CPU%,Memory_MB
2025-04-11T02:13:46Z,0.98,77.72
2025-04-11T02:13:53Z,1.11,77.23
2025-04-11T02:13:59Z,0.00,77.23
2025-04-11T02:14:06Z,1.26,77.50
2025-04-11T02:14:13Z,1.27,77.51
2025-04-11T02:14:20Z,0.00,76.98
2025-04-11T02:14:26Z,5.63,77.62
2025-04-11T02:14:33Z,2.01,77.86
2025-04-11T02:14:40Z,0.39,78.03
2025-04-11T02:14:46Z,2.11,78.41
2025-04-11T02:14:53Z,1.54,77.98
2025-04-11T02:15:00Z,0.42,77.80
2025-04-11T02:15:06Z,1.96,78.38
2025-04-11T02:15:13Z,1.73,77.86
2025-04-11T02:15:20Z,0.65,78.02
2025-04-11T02:15:26Z,0.79,78.27
2025-04-11T02:15:33Z,2.04,78.08
2025-04-11T02:15:40Z,0.55,77.81
2025-04-11T02:15:46Z,2.57,78.26
2025-04-11T02:15:53Z,1.64,78.47
2025-04-11T02:16:00Z,0.57,78.21
2025-04-11T02:16:06Z,1.54,78.38
2025-04-11T02:16:13Z,1.59,78.17
2025-04-11T02:16:20Z,0.39,77.89
2025-04-11T02:16:26Z,0.94,77.85
2025-04-11T02:16:33Z,1.26,77.88
2025-04-11T02:16:40Z,0.40,78.08
2025-04-11T02:16:46Z,1.46,78.25
2025-04-11T02:16:53Z,1.87,78.36
2025-04-11T02:17:00Z,0.43,77.83
2025-04-11T02:17:06Z,2.08,78.18
2025-04-11T02:17:13Z,1.20,77.84
2025-04-11T02:17:20Z,0.52,77.96
2025-04-11T02:17:26Z,1.29,77.81
2025-04-11T02:17:33Z,1.50,78.12
2025-04-11T02:17:40Z,0.51,77.86
2025-04-11T02:17:46Z,1.35,77.71
2025-04-11T02:17:53Z,1.32,78.29
2025-04-11T02:18:00Z,0.48,78.01
2025-04-11T02:18:07Z,1.91,77.91
2025-04-11T02:18:13Z,1.69,78.31
2025-04-11T02:18:20Z,0.47,77.76
2025-04-11T02:18:27Z,0.70,78.29
2025-04-11T02:18:33Z,1.86,77.98
2025-04-11T02:18:40Z,0.53,78.02
2025-04-11T02:18:47Z,1.36,78.23
2025-04-11T02:18:53Z,0.72,77.91
2025-04-11T02:19:00Z,0.00,77.61
2025-04-11T02:19:07Z,1.29,77.83
2025-04-11T02:19:13Z,1.28,78.55
2025-04-11T02:19:20Z,0.00,77.63
2025-04-11T02:19:27Z,1.43,77.89
2025-04-11T02:19:33Z,1.08,78.02
2025-04-11T02:19:40Z,0.34,77.64
2025-04-11T02:19:47Z,1.36,77.86
2025-04-11T02:19:53Z,1.22,78.04
2025-04-11T02:20:00Z,0.43,77.63
2025-04-11T02:20:07Z,1.23,78.16
2025-04-11T02:20:13Z,1.27,78.30
2025-04-11T02:20:20Z,0.42,77.63
