timestamp,CPU%,Memory_MB
2025-04-11T03:25:07.508563+00:00,98.80,127.45
2025-04-11T03:25:08.270316+00:00,0.20,127.48
2025-04-11T03:25:09.032159+00:00,0.50,127.69
2025-04-11T03:25:09.788229+00:00,0.30,127.69
2025-04-11T03:25:10.544749+00:00,0.20,127.69
2025-04-11T03:25:11.306753+00:00,0.20,127.69
2025-04-11T03:25:12.067161+00:00,0.30,127.69
2025-04-11T03:25:12.829120+00:00,0.20,127.69
2025-04-11T03:25:13.587576+00:00,0.40,127.69
2025-04-11T03:25:14.348791+00:00,0.20,127.69
2025-04-11T03:25:15.112408+00:00,0.30,127.69
2025-04-11T03:25:15.875193+00:00,0.40,127.69
2025-04-11T03:25:16.638272+00:00,0.40,127.69
2025-04-11T03:25:17.396807+00:00,0.30,127.69
2025-04-11T03:25:18.157619+00:00,0.10,127.69
2025-04-11T03:25:18.916557+00:00,0.30,127.69
2025-04-11T03:25:19.677846+00:00,0.40,127.69
2025-04-11T03:25:20.438651+00:00,0.30,127.69
2025-04-11T03:25:21.195769+00:00,0.20,127.69
2025-04-11T03:25:21.956717+00:00,0.30,127.69
2025-04-11T03:25:22.720395+00:00,0.40,127.69
2025-04-11T03:25:23.482455+00:00,0.30,127.72
2025-04-11T03:25:24.247505+00:00,0.30,127.72
2025-04-11T03:25:25.005219+00:00,0.30,127.72
2025-04-11T03:25:25.766031+00:00,0.30,127.72
2025-04-11T03:25:26.530287+00:00,0.30,127.72
2025-04-11T03:25:27.292292+00:00,0.20,127.72
2025-04-11T03:25:28.052901+00:00,0.10,127.73
2025-04-11T03:25:28.814172+00:00,0.20,127.73
2025-04-11T03:25:29.574409+00:00,0.20,127.73
2025-04-11T03:25:30.337295+00:00,0.20,127.73
2025-04-11T03:25:31.099726+00:00,0.40,127.73
2025-04-11T03:25:31.861763+00:00,0.40,127.73
2025-04-11T03:25:32.624651+00:00,0.40,127.73
2025-04-11T03:25:33.377902+00:00,0.30,127.73
2025-04-11T03:25:34.139602+00:00,0.20,127.73
2025-04-11T03:25:34.892658+00:00,0.40,127.73
2025-04-11T03:25:35.650952+00:00,0.40,127.73
2025-04-11T03:25:36.414451+00:00,0.40,127.73
2025-04-11T03:25:37.172697+00:00,0.40,127.73
2025-04-11T03:25:37.927129+00:00,0.40,127.73
2025-04-11T03:25:38.691675+00:00,0.40,127.73
2025-04-11T03:25:39.453700+00:00,0.30,127.73
2025-04-11T03:25:40.214175+00:00,0.20,127.73
2025-04-11T03:25:40.976046+00:00,0.20,127.73
2025-04-11T03:25:41.735769+00:00,0.30,127.73
2025-04-11T03:25:42.495184+00:00,0.30,127.73
2025-04-11T03:25:43.255828+00:00,0.30,127.73
2025-04-11T03:25:44.014626+00:00,0.40,127.73
2025-04-11T03:25:44.777811+00:00,0.40,127.73
2025-04-11T03:25:45.537237+00:00,0.30,127.73
2025-04-11T03:25:46.287878+00:00,0.10,127.73
2025-04-11T03:25:47.049638+00:00,0.20,127.73
2025-04-11T03:25:47.802805+00:00,0.30,127.73
2025-04-11T03:25:48.563401+00:00,0.30,127.73
2025-04-11T03:25:49.322863+00:00,0.30,127.73
2025-04-11T03:25:50.075555+00:00,0.30,127.75
2025-04-11T03:25:50.837386+00:00,0.30,127.78
2025-04-11T03:25:51.597568+00:00,0.30,127.78
2025-04-11T03:25:52.361652+00:00,0.20,127.78
2025-04-11T03:25:53.116803+00:00,0.30,127.78
2025-04-11T03:25:53.873887+00:00,0.20,127.78
2025-04-11T03:25:54.628803+00:00,0.40,127.78
2025-04-11T03:25:55.389886+00:00,0.40,127.78
2025-04-11T03:25:56.152568+00:00,0.40,127.78
2025-04-11T03:25:56.913259+00:00,0.40,127.78
2025-04-11T03:25:57.671581+00:00,0.20,127.78
2025-04-11T03:25:58.433067+00:00,0.20,127.78
2025-04-11T03:25:59.197353+00:00,0.30,127.78
2025-04-11T03:25:59.955849+00:00,0.30,127.78
2025-04-11T03:26:00.711849+00:00,0.10,127.78
2025-04-11T03:26:01.474224+00:00,0.20,127.78
2025-04-11T03:26:02.231703+00:00,0.50,127.78
2025-04-11T03:26:02.984851+00:00,0.30,127.78
2025-04-11T03:26:03.738821+00:00,0.20,127.78
2025-04-11T03:26:04.494622+00:00,0.30,127.78
2025-04-11T03:26:05.254838+00:00,0.40,127.78
