DB,Rate,First_CPU%,First_Mem_MB,Avg_CPU%,Max_CPU%,Avg_Mem_MB,Max_Mem_MB,Messages_Logged,Expected_Messages,Gap
baseline,10,93.8,116.28,0.06938775510204082,0.1,116.46836734693879,116.47,50,50,0
baseline,20,89.7,113.95,0.08383838383838382,0.1,114.31949494949497,114.39,100,100,0
baseline,40,91.5,120.28,0.15808080808080807,0.3,120.67015151515153,120.77,199,200,1
baseline,60,97.2,113.25,0.2478114478114478,0.4,113.66767676767678,113.7,298,300,2
baseline,80,94.6,123.64,0.32575757575757575,0.5,123.80987373737372,123.83,397,400,3
baseline,100,95.4,123.86,0.40752032520325204,0.7,124.22404471544716,124.27,493,500,7
baseline,200,95.6,123.89,0.784560327198364,1.4,124.35891615541922,124.38,979,1000,21
baseline,500,97.4,114.95,1.8662343096234306,3.1,115.20905020920502,115.25,2391,2500,109
baseline,1000,97.0,113.95,3.314331282752335,5.3,114.43773980405561,114.45,4390,5000,610
influxdb,10,90.0,118.36,0.08367346938775509,0.1,118.72938775510204,118.75,50,50,0
influxdb,20,97.5,122.36,0.07373737373737373,0.1,122.72494949494946,122.8,100,100,0
influxdb,40,93.8,116.84,0.15707070707070706,0.3,88.14,117.09,199,200,1
influxdb,60,90.1,114.34,0.23232323232323232,0.4,114.67481481481485,114.7,298,300,2
influxdb,80,98.8,123.66,0.3189873417721519,0.5,124.10232911392403,124.12,396,400,4
influxdb,100,100.0,122.42,0.382520325203252,0.6,122.77115853658536,122.81,493,500,7
influxdb,200,99.2,116.22,0.7497959183673469,1.3,116.68000000000002,116.7,981,1000,19
influxdb,500,99.1,114.55,1.9848058045241146,3.0,115.0012121212121,115.03,2344,2500,156
influxdb,1000,99.7,126.81,3.300624303232999,5.0,127.21499665551839,127.23,4486,5000,514
timescaledb,10,99.1,126.22,0.08163265306122448,0.1,126.58816326530614,126.62,50,50,0
timescaledb,20,100.0,115.98,0.06969696969696969,0.1,116.42323232323231,116.48,100,100,0
timescaledb,40,98.2,116.25,0.1616161616161616,0.2,116.56530303030303,116.62,199,200,1
timescaledb,60,90.6,128.47,0.22693602693602696,0.4,128.77225589225588,128.81,298,300,2
timescaledb,80,95.2,116.41,0.3159493670886076,0.6,116.53513924050631,116.55,396,400,4
timescaledb,100,96.6,116.39,0.3945233265720081,0.7,116.39484787018257,116.67,494,500,6
timescaledb,200,96.8,116.08,0.7375128468653649,1.3,116.54256937307295,116.56,974,1000,26
timescaledb,500,99.9,124.39,1.7934969853574505,2.8,124.68267441860466,124.7,2323,2500,177
timescaledb,1000,99.1,115.67,3.227550312283137,5.0,116.15413139023825,116.17,4324,5000,676
victoriametrics,10,98.1,114.64,0.08367346938775509,0.1,114.75,114.75,50,50,0
victoriametrics,20,100.0,112.48,0.07575757575757575,0.1,112.73202020202021,112.77,100,100,0
victoriametrics,40,90.0,118.17,0.152020202020202,0.3,111.92378787878788,118.42,199,200,1
victoriametrics,60,96.6,123.12,0.2218855218855219,0.4,123.58471380471381,123.64,298,300,2
victoriametrics,80,98.8,127.45,0.30380710659898474,0.5,127.79794416243652,127.83,395,400,5
victoriametrics,100,100.0,123.12,0.37169042769857435,0.6,123.55767820773929,123.61,492,500,8
victoriametrics,200,99.0,117.52,0.7246900826446281,1.3,117.89390495867771,117.94,969,1000,31
victoriametrics,500,98.2,116.2,1.6899221453287196,2.9,116.67503027681663,116.69,2313,2500,187
victoriametrics,1000,93.7,115.34,3.105329008341056,5.6,115.80154077849858,115.81,4317,5000,683
