DB,Rate,Timestamp,Platform,CPU_Cores,CPU_Usage_%,Memory_GB,Memory_Used_GB,Memory_Usage_%,Battery_%,Plugged_In
baseline,1000mpm,2025-04-10T23:30:50.831196 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,11.0,16.0,7.39,59.8,100,True
baseline,100mpm,2025-04-10T23:00:18.333189 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,13.8,16.0,7.58,60.9,100,True
baseline,10mpm,2025-04-10T22:09:22.578268 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,33.5,16.0,7.11,56.7,100,True
baseline,200mpm,2025-04-10T23:10:29.096703 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,19.3,16.0,7.62,61.2,100,True
baseline,20mpm,2025-04-10T22:19:33.648975 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,16.5,16.0,7.64,61.8,100,True
baseline,40mpm,2025-04-10T22:29:44.986560 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,14.1,16.0,7.68,62.0,100,True
baseline,500mpm,2025-04-10T23:20:40.034691 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,13.0,16.0,7.57,60.9,100,True
baseline,60mpm,2025-04-10T22:39:55.990102 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,18.8,16.0,7.52,61.0,100,True
baseline,80mpm,2025-04-10T22:50:07.348520 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,14.1,16.0,7.28,59.3,100,True
influxdb,1000mpm,2025-04-11T01:02:29.493190 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,14.6,16.0,7.16,63.6,100,True
influxdb,100mpm,2025-04-11T00:31:57.296402 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,22.4,16.0,6.63,61.0,100,True
influxdb,10mpm,2025-04-10T23:41:01.776569 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,14.1,16.0,7.59,61.6,100,True
influxdb,200mpm,2025-04-11T00:42:08.048836 UTC,macOS-15.3.2-arm64-arm-64bit-Mach-O,10,17.2,16.0,6.87,62.0,100,True
