DB,Rate,Messages_Written,Duration_s,Writes_per_sec,Avg_Latency_ms
baseline,10,50,293.047098,0.1706210378510556,5980.553020408163
baseline,20,100,258.588452,0.3867148715519593,2612.004565656566
baseline,40,199,262.222117,0.7588986096088911,1324.354126262626
baseline,60,298,260.904609,1.1421798991676686,878.466696969697
baseline,80,397,262.209228,1.5140580788407645,662.1445151515152
baseline,100,493,260.502784,1.8924941700431115,529.4772032520325
baseline,200,979,262.19761,3.733825033721703,268.09571574642126
baseline,500,2391,261.04316,9.159404904537626,109.22307949790795
baseline,1000,4390,260.567613,16.847834423689488,59.36833287764867
influxdb,10,50,256.550965,0.19489304980786176,5235.733979591837
influxdb,20,100,259.149058,0.3858783079196066,2617.6672525252525
influxdb,40,199,261.611637,0.7606695263330355,1321.2708939393938
influxdb,60,298,261.575182,1.1392518117410697,880.7245185185185
influxdb,80,396,260.406898,1.5206970439008878,659.2579696202531
influxdb,100,493,262.008025,1.881621755669507,532.5366361788617
influxdb,200,981,260.638856,3.7638286748772414,265.95801632653064
influxdb,500,2344,262.404962,8.932757910271528,111.99528894579599
influxdb,1000,4486,263.371681,17.032962628962373,58.722782831661085
timescaledb,10,50,256.649113,0.19481851862079103,5237.737
timescaledb,20,100,259.389571,0.38552051115424374,2620.096676767677
timescaledb,40,199,261.973388,0.7596191411625367,1323.0979191919191
timescaledb,60,298,261.012712,1.1417068452972512,878.8306801346802
timescaledb,80,396,261.701711,1.5131731408511884,662.5359772151899
timescaledb,100,494,260.599483,1.895629240369598,528.5993569979717
timescaledb,200,974,261.511074,3.72450766654723,268.7678047276464
timescaledb,500,2323,262.338181,8.854982492998225,112.97940611541773
timescaledb,1000,4324,262.61862,16.46494068090069,60.74916030534351
victoriametrics,10,50,257.358263,0.1942816967178551,5252.209448979592
victoriametrics,20,100,258.742674,0.3864843725005331,2613.5623636363634
victoriametrics,40,199,261.268741,0.7616678491209173,1319.539095959596
victoriametrics,60,298,262.987675,1.1331329500517466,885.4803872053872
victoriametrics,80,395,260.776444,1.5147073636758386,661.8691472081218
victoriametrics,100,492,261.378927,1.8823246603962072,532.3399735234216
victoriametrics,200,969,261.773025,3.7016801100877372,270.42667871900824
victoriametrics,500,2313,262.534631,8.810266253978508,113.55304108996539
victoriametrics,1000,4317,262.351255,16.455038494098304,60.78574026876738
